Entity,Code,Year,Deaths - Cause: All causes - Risk: Smoking - Sex: Both - Age: All Ages (Number),Income classifications (World Bank (2017)),Deaths - Cause: All causes - Risk: Smoking - Sex: Both - Age: All Ages (Number),Year
European Region (WHO),,1992,1687131,,1523327,2019
European Region (WHO),,1993,1763521,,1523327,2019
European Region (WHO),,1994,1803927,,1523327,2019
European Region (WHO),,1995,1793995,,1523327,2019
European Region (WHO),,1996,1748362,,1523327,2019
European Region (WHO),,1997,1704239,,1523327,2019
European Region (WHO),,1998,1673314,,1523327,2019
European Region (WHO),,1999,1691907,,1523327,2019
European Region (WHO),,2000,1687515,,1523327,2019
European Region (WHO),,2001,1678689,,1523327,2019
European Region (WHO),,2002,1691652,,1523327,2019
European Region (WHO),,2003,1690293,,1523327,2019
European Region (WHO),,2004,1654048,,1523327,2019
European Region (WHO),,2005,1662873,,1523327,2019
European Region (WHO),,2006,1605327,,1523327,2019
European Region (WHO),,2007,1586731,,1523327,2019
European Region (WHO),,2008,1587836,,1523327,2019
European Region (WHO),,2009,1556775,,1523327,2019
European Region (WHO),,2010,1553140,,1523327,2019
European Region (WHO),,2011,1523086,,1523327,2019
European Region (WHO),,2012,1515592,,1523327,2019
European Region (WHO),,2013,1502981,,1523327,2019
European Region (WHO),,2014,1498197,,1523327,2019
European Region (WHO),,2015,1531154,,1523327,2019
European Region (WHO),,2016,1517042,,1523327,2019
European Region (WHO),,2017,1503566,,1523327,2019
European Region (WHO),,2018,1512608,,1523327,2019
European Region (WHO),,2019,1523327,,1523327,2019
Faeroe Islands,FRO,1987,,High income,,
Faeroe Islands,FRO,1988,,High income,,
Faeroe Islands,FRO,1989,,High income,,
Faeroe Islands,FRO,1990,,High income,,
Faeroe Islands,FRO,1991,,High income,,
Faeroe Islands,FRO,1992,,High income,,
Faeroe Islands,FRO,1993,,High income,,
Faeroe Islands,FRO,1994,,High income,,
Faeroe Islands,FRO,1995,,High income,,
Faeroe Islands,FRO,1996,,High income,,
Faeroe Islands,FRO,1997,,High income,,
Faeroe Islands,FRO,1998,,High income,,
Faeroe Islands,FRO,1999,,High income,,
Faeroe Islands,FRO,2000,,High income,,
Faeroe Islands,FRO,2001,,High income,,
Faeroe Islands,FRO,2002,,High income,,
Faeroe Islands,FRO,2003,,High income,,
Faeroe Islands,FRO,2004,,High income,,
Faeroe Islands,FRO,2005,,High income,,
Faeroe Islands,FRO,2006,,High income,,
Faeroe Islands,FRO,2007,,High income,,
Faeroe Islands,FRO,2008,,High income,,
Faeroe Islands,FRO,2009,,High income,,
Faeroe Islands,FRO,2010,,High income,,
Faeroe Islands,FRO,2011,,High income,,
Faeroe Islands,FRO,2012,,High income,,
Faeroe Islands,FRO,2013,,High income,,
Faeroe Islands,FRO,2014,,High income,,
Faeroe Islands,FRO,2015,,High income,,
Faeroe Islands,FRO,2016,,High income,,
Fiji,FJI,1990,738,Lower-middle income,924,2019
Fiji,FJI,1991,741,Lower-middle income,924,2019
Fiji,FJI,1992,742,Lower-middle income,924,2019
Fiji,FJI,1993,747,Lower-middle income,924,2019
Fiji,FJI,1994,752,Lower-middle income,924,2019
Fiji,FJI,1995,758,Lower-middle income,924,2019
Fiji,FJI,1996,769,Lower-middle income,924,2019
Fiji,FJI,1997,773,Lower-middle income,924,2019
Fiji,FJI,1998,746,Lower-middle income,924,2019
Fiji,FJI,1999,796,Lower-middle income,924,2019
Fiji,FJI,2000,817,Lower-middle income,924,2019
Fiji,FJI,2001,799,Lower-middle income,924,2019
Fiji,FJI,2002,778,Lower-middle income,924,2019
Fiji,FJI,2003,794,Lower-middle income,924,2019
Fiji,FJI,2004,770,Lower-middle income,924,2019
Fiji,FJI,2005,798,Lower-middle income,924,2019
Fiji,FJI,2006,824,Lower-middle income,924,2019
Fiji,FJI,2007,843,Upper-middle income,924,2019
Fiji,FJI,2008,855,Upper-middle income,924,2019
Fiji,FJI,2009,832,Upper-middle income,924,2019
Fiji,FJI,2010,846,Lower-middle income,924,2019
Fiji,FJI,2011,856,Lower-middle income,924,2019
Fiji,FJI,2012,865,Upper-middle income,924,2019
Fiji,FJI,2013,874,Upper-middle income,924,2019
Fiji,FJI,2014,884,Upper-middle income,924,2019
Fiji,FJI,2015,893,Upper-middle income,924,2019
Fiji,FJI,2016,899,Upper-middle income,924,2019
Fiji,FJI,2017,908,,924,2019
Fiji,FJI,2018,915,,924,2019
Fiji,FJI,2019,924,,924,2019
Fiji,FJI,1987,,Lower-middle income,924,2019
Fiji,FJI,1988,,Lower-middle income,924,2019
Fiji,FJI,1989,,Lower-middle income,924,2019
Finland,FIN,1990,8886,High income,6763,2019
Finland,FIN,1991,8622,High income,6763,2019
Finland,FIN,1992,8479,High income,6763,2019
Finland,FIN,1993,8258,High income,6763,2019
Finland,FIN,1994,7853,High income,6763,2019
Finland,FIN,1995,7789,High income,6763,2019
Finland,FIN,1996,7637,High income,6763,2019
Finland,FIN,1997,7504,High income,6763,2019
Finland,FIN,1998,7378,High income,6763,2019
Finland,FIN,1999,7205,High income,6763,2019
Finland,FIN,2000,7037,High income,6763,2019
Finland,FIN,2001,6878,High income,6763,2019
Finland,FIN,2002,6773,High income,6763,2019
Finland,FIN,2003,6662,High income,6763,2019
Finland,FIN,2004,6542,High income,6763,2019
Finland,FIN,2005,6465,High income,6763,2019
Finland,FIN,2006,6401,High income,6763,2019
Finland,FIN,2007,6416,High income,6763,2019
Finland,FIN,2008,6382,High income,6763,2019
Finland,FIN,2009,6415,High income,6763,2019
Finland,FIN,2010,6440,High income,6763,2019
Finland,FIN,2011,6404,High income,6763,2019
Finland,FIN,2012,6404,High income,6763,2019
Finland,FIN,2013,6425,High income,6763,2019
Finland,FIN,2014,6412,High income,6763,2019
Finland,FIN,2015,6405,High income,6763,2019
Finland,FIN,2016,6512,High income,6763,2019
Finland,FIN,2017,6628,,6763,2019
Finland,FIN,2018,6687,,6763,2019
Finland,FIN,2019,6763,,6763,2019
Finland,FIN,1987,,High income,6763,2019
Finland,FIN,1988,,High income,6763,2019
Finland,FIN,1989,,High income,6763,2019
France,FRA,1990,85668,High income,80348,2019
France,FRA,1991,85078,High income,80348,2019
France,FRA,1992,84618,High income,80348,2019
France,FRA,1993,84670,High income,80348,2019
France,FRA,1994,83765,High income,80348,2019
France,FRA,1995,83932,High income,80348,2019
France,FRA,1996,84085,High income,80348,2019
France,FRA,1997,83126,High income,80348,2019
France,FRA,1998,83934,High income,80348,2019
France,FRA,1999,83459,High income,80348,2019
France,FRA,2000,81848,High income,80348,2019
France,FRA,2001,81178,High income,80348,2019
France,FRA,2002,80987,High income,80348,2019
France,FRA,2003,80535,High income,80348,2019
France,FRA,2004,77533,High income,80348,2019
France,FRA,2005,77370,High income,80348,2019
France,FRA,2006,76557,High income,80348,2019
France,FRA,2007,76446,High income,80348,2019
France,FRA,2008,76954,High income,80348,2019
France,FRA,2009,77649,High income,80348,2019
France,FRA,2010,77655,High income,80348,2019
France,FRA,2011,77920,High income,80348,2019
France,FRA,2012,78486,High income,80348,2019
France,FRA,2013,78404,High income,80348,2019
France,FRA,2014,77662,High income,80348,2019
France,FRA,2015,79488,High income,80348,2019
France,FRA,2016,78162,High income,80348,2019
France,FRA,2017,79255,,80348,2019
France,FRA,2018,79398,,80348,2019
France,FRA,2019,80348,,80348,2019
France,FRA,1987,,High income,80348,2019
France,FRA,1988,,High income,80348,2019
France,FRA,1989,,High income,80348,2019
French Polynesia,PYF,1987,,Not categorized,,
French Polynesia,PYF,1988,,Not categorized,,
French Polynesia,PYF,1989,,Not categorized,,
French Polynesia,PYF,1990,,High income,,
French Polynesia,PYF,1991,,High income,,
French Polynesia,PYF,1992,,High income,,
French Polynesia,PYF,1993,,High income,,
French Polynesia,PYF,1994,,High income,,
French Polynesia,PYF,1995,,High income,,
French Polynesia,PYF,1996,,High income,,
French Polynesia,PYF,1997,,High income,,
French Polynesia,PYF,1998,,High income,,
French Polynesia,PYF,1999,,High income,,
French Polynesia,PYF,2000,,High income,,
French Polynesia,PYF,2001,,High income,,
French Polynesia,PYF,2002,,High income,,
French Polynesia,PYF,2003,,High income,,
French Polynesia,PYF,2004,,High income,,
French Polynesia,PYF,2005,,High income,,
French Polynesia,PYF,2006,,High income,,
French Polynesia,PYF,2007,,High income,,
French Polynesia,PYF,2008,,High income,,
French Polynesia,PYF,2009,,High income,,
French Polynesia,PYF,2010,,High income,,
French Polynesia,PYF,2011,,High income,,
French Polynesia,PYF,2012,,High income,,
French Polynesia,PYF,2013,,High income,,
French Polynesia,PYF,2014,,High income,,
French Polynesia,PYF,2015,,High income,,
French Polynesia,PYF,2016,,High income,,
G20,,1990,4734586,,6077187,2019
G20,,1991,4815939,,6077187,2019
G20,,1992,4907105,,6077187,2019
G20,,1993,5041867,,6077187,2019
G20,,1994,5117652,,6077187,2019
G20,,1995,5144721,,6077187,2019
G20,,1996,5165761,,6077187,2019
G20,,1997,5211307,,6077187,2019
G20,,1998,5251204,,6077187,2019
G20,,1999,5311858,,6077187,2019
G20,,2000,5388840,,6077187,2019
G20,,2001,5437860,,6077187,2019
G20,,2002,5502600,,6077187,2019
G20,,2003,5541115,,6077187,2019
G20,,2004,5520177,,6077187,2019
G20,,2005,5558085,,6077187,2019
G20,,2006,5481510,,6077187,2019
G20,,2007,5473073,,6077187,2019
G20,,2008,5536083,,6077187,2019
G20,,2009,5546377,,6077187,2019
G20,,2010,5592851,,6077187,2019
G20,,2011,5615394,,6077187,2019
G20,,2012,5647109,,6077187,2019
G20,,2013,5675375,,6077187,2019
G20,,2014,5703321,,6077187,2019
G20,,2015,5749608,,6077187,2019
G20,,2016,5814598,,6077187,2019
G20,,2017,5859600,,6077187,2019
G20,,2018,5958458,,6077187,2019
G20,,2019,6077187,,6077187,2019
Gabon,GAB,1990,386,Upper-middle income,524,2019
Gabon,GAB,1991,384,Upper-middle income,524,2019
Gabon,GAB,1992,386,Upper-middle income,524,2019
Gabon,GAB,1993,386,Upper-middle income,524,2019
Gabon,GAB,1994,392,Upper-middle income,524,2019
Gabon,GAB,1995,403,Upper-middle income,524,2019
Gabon,GAB,1996,405,Upper-middle income,524,2019
Gabon,GAB,1997,403,Upper-middle income,524,2019
Gabon,GAB,1998,402,Upper-middle income,524,2019
Gabon,GAB,1999,398,Upper-middle income,524,2019
Gabon,GAB,2000,404,Upper-middle income,524,2019
Gabon,GAB,2001,410,Upper-middle income,524,2019
Gabon,GAB,2002,409,Upper-middle income,524,2019
Gabon,GAB,2003,418,Upper-middle income,524,2019
Gabon,GAB,2004,422,Upper-middle income,524,2019
Gabon,GAB,2005,422,Upper-middle income,524,2019
Gabon,GAB,2006,430,Upper-middle income,524,2019
Gabon,GAB,2007,440,Upper-middle income,524,2019
Gabon,GAB,2008,453,Upper-middle income,524,2019
Gabon,GAB,2009,458,Upper-middle income,524,2019
Gabon,GAB,2010,454,Upper-middle income,524,2019
Gabon,GAB,2011,460,Upper-middle income,524,2019
Gabon,GAB,2012,463,Upper-middle income,524,2019
Gabon,GAB,2013,467,Upper-middle income,524,2019
Gabon,GAB,2014,473,Upper-middle income,524,2019
Gabon,GAB,2015,483,Upper-middle income,524,2019
Gabon,GAB,2016,494,Upper-middle income,524,2019
Gabon,GAB,2017,504,,524,2019
Gabon,GAB,2018,514,,524,2019
Gabon,GAB,2019,524,,524,2019
Gabon,GAB,1987,,Upper-middle income,524,2019
Gabon,GAB,1988,,Upper-middle income,524,2019
Gabon,GAB,1989,,Upper-middle income,524,2019
Gambia,GMB,1990,320,Low income,611,2019
Gambia,GMB,1991,332,Low income,611,2019
Gambia,GMB,1992,349,Low income,611,2019
Gambia,GMB,1993,349,Low income,611,2019
Gambia,GMB,1994,358,Low income,611,2019
Gambia,GMB,1995,394,Low income,611,2019
Gambia,GMB,1996,385,Low income,611,2019
Gambia,GMB,1997,399,Low income,611,2019
Gambia,GMB,1998,425,Low income,611,2019
Gambia,GMB,1999,460,Low income,611,2019
Gambia,GMB,2000,447,Low income,611,2019
Gambia,GMB,2001,449,Low income,611,2019
Gambia,GMB,2002,465,Low income,611,2019
Gambia,GMB,2003,486,Low income,611,2019
Gambia,GMB,2004,526,Low income,611,2019
Gambia,GMB,2005,543,Low income,611,2019
Gambia,GMB,2006,542,Low income,611,2019
Gambia,GMB,2007,547,Low income,611,2019
Gambia,GMB,2008,533,Low income,611,2019
Gambia,GMB,2009,544,Low income,611,2019
Gambia,GMB,2010,540,Low income,611,2019
Gambia,GMB,2011,508,Low income,611,2019
Gambia,GMB,2012,514,Low income,611,2019
Gambia,GMB,2013,528,Low income,611,2019
Gambia,GMB,2014,564,Low income,611,2019
Gambia,GMB,2015,554,Low income,611,2019
Gambia,GMB,2016,580,Low income,611,2019
Gambia,GMB,2017,606,,611,2019
Gambia,GMB,2018,606,,611,2019
Gambia,GMB,2019,611,,611,2019
Gambia,GMB,1987,,Low income,611,2019
Gambia,GMB,1988,,Low income,611,2019
Gambia,GMB,1989,,Low income,611,2019
Georgia,GEO,1990,9480,Upper-middle income,7172,2019
Georgia,GEO,1991,9605,Lower-middle income,7172,2019
Georgia,GEO,1992,9593,Lower-middle income,7172,2019
Georgia,GEO,1993,9133,Low income,7172,2019
Georgia,GEO,1994,9103,Low income,7172,2019
Georgia,GEO,1995,8444,Low income,7172,2019
Georgia,GEO,1996,8062,Lower-middle income,7172,2019
Georgia,GEO,1997,8220,Lower-middle income,7172,2019
Georgia,GEO,1998,8424,Lower-middle income,7172,2019
Georgia,GEO,1999,8459,Low income,7172,2019
Georgia,GEO,2000,8441,Low income,7172,2019
Georgia,GEO,2001,8298,Low income,7172,2019
Georgia,GEO,2002,8465,Low income,7172,2019
Georgia,GEO,2003,8365,Lower-middle income,7172,2019
Georgia,GEO,2004,8235,Lower-middle income,7172,2019
Georgia,GEO,2005,7845,Lower-middle income,7172,2019
Georgia,GEO,2006,7693,Lower-middle income,7172,2019
Georgia,GEO,2007,7571,Lower-middle income,7172,2019
Georgia,GEO,2008,7600,Lower-middle income,7172,2019
Georgia,GEO,2009,7589,Lower-middle income,7172,2019
Georgia,GEO,2010,7618,Lower-middle income,7172,2019
Georgia,GEO,2011,7515,Lower-middle income,7172,2019
Georgia,GEO,2012,7207,Lower-middle income,7172,2019
Georgia,GEO,2013,6890,Lower-middle income,7172,2019
Georgia,GEO,2014,6745,Lower-middle income,7172,2019
Georgia,GEO,2015,6787,Upper-middle income,7172,2019
Georgia,GEO,2016,7050,Lower-middle income,7172,2019
Georgia,GEO,2017,7120,,7172,2019
Georgia,GEO,2018,7154,,7172,2019
Georgia,GEO,2019,7172,,7172,2019
Georgia,GEO,1987,,Not categorized,7172,2019
Georgia,GEO,1988,,Not categorized,7172,2019
Georgia,GEO,1989,,Not categorized,7172,2019
Germany,DEU,1990,184466,High income,143642,2019
Germany,DEU,1991,181205,High income,143642,2019
Germany,DEU,1992,176430,High income,143642,2019
Germany,DEU,1993,174590,High income,143642,2019
Germany,DEU,1994,172284,High income,143642,2019
Germany,DEU,1995,170171,High income,143642,2019
Germany,DEU,1996,166991,High income,143642,2019
Germany,DEU,1997,162028,High income,143642,2019
Germany,DEU,1998,157683,High income,143642,2019
Germany,DEU,1999,155331,High income,143642,2019
Germany,DEU,2000,153610,High income,143642,2019
Germany,DEU,2001,150989,High income,143642,2019
Germany,DEU,2002,150439,High income,143642,2019
Germany,DEU,2003,149346,High income,143642,2019
Germany,DEU,2004,145275,High income,143642,2019
Germany,DEU,2005,143534,High income,143642,2019
Germany,DEU,2006,141790,High income,143642,2019
Germany,DEU,2007,141176,High income,143642,2019
Germany,DEU,2008,141319,High income,143642,2019
Germany,DEU,2009,141927,High income,143642,2019
Germany,DEU,2010,140558,High income,143642,2019
Germany,DEU,2011,138603,High income,143642,2019
Germany,DEU,2012,138342,High income,143642,2019
Germany,DEU,2013,139497,High income,143642,2019
Germany,DEU,2014,138062,High income,143642,2019
Germany,DEU,2015,140997,High income,143642,2019
Germany,DEU,2016,140835,High income,143642,2019
Germany,DEU,2017,140871,,143642,2019
Germany,DEU,2018,141938,,143642,2019
Germany,DEU,2019,143642,,143642,2019
Germany,DEU,1987,,High income,143642,2019
Germany,DEU,1988,,High income,143642,2019
Germany,DEU,1989,,High income,143642,2019
Ghana,GHA,1990,3288,Low income,5477,2019
Ghana,GHA,1991,3263,Low income,5477,2019
Ghana,GHA,1992,3246,Low income,5477,2019
Ghana,GHA,1993,3203,Low income,5477,2019
Ghana,GHA,1994,3206,Low income,5477,2019
Ghana,GHA,1995,3217,Low income,5477,2019
Ghana,GHA,1996,3243,Low income,5477,2019
Ghana,GHA,1997,3330,Low income,5477,2019
Ghana,GHA,1998,3353,Low income,5477,2019
Ghana,GHA,1999,3428,Low income,5477,2019
Ghana,GHA,2000,3502,Low income,5477,2019
Ghana,GHA,2001,3585,Low income,5477,2019
Ghana,GHA,2002,3669,Low income,5477,2019
Ghana,GHA,2003,3747,Low income,5477,2019
Ghana,GHA,2004,3830,Low income,5477,2019
Ghana,GHA,2005,3922,Low income,5477,2019
Ghana,GHA,2006,4033,Low income,5477,2019
Ghana,GHA,2007,4128,Low income,5477,2019
Ghana,GHA,2008,4191,Low income,5477,2019
Ghana,GHA,2009,4293,Low income,5477,2019
Ghana,GHA,2010,4389,Lower-middle income,5477,2019
Ghana,GHA,2011,4485,Lower-middle income,5477,2019
Ghana,GHA,2012,4588,Lower-middle income,5477,2019
Ghana,GHA,2013,4716,Lower-middle income,5477,2019
Ghana,GHA,2014,4852,Lower-middle income,5477,2019
Ghana,GHA,2015,5018,Lower-middle income,5477,2019
Ghana,GHA,2016,5162,Lower-middle income,5477,2019
Ghana,GHA,2017,5290,,5477,2019
Ghana,GHA,2018,5351,,5477,2019
Ghana,GHA,2019,5477,,5477,2019
Ghana,GHA,1987,,Low income,5477,2019
Ghana,GHA,1988,,Low income,5477,2019
Ghana,GHA,1989,,Low income,5477,2019
Gibraltar,GIB,1987,,Upper-middle income,,
Gibraltar,GIB,1988,,Upper-middle income,,
Gibraltar,GIB,1989,,Upper-middle income,,
Gibraltar,GIB,1990,,Upper-middle income,,
Gibraltar,GIB,1991,,Upper-middle income,,
Gibraltar,GIB,1992,,Upper-middle income,,
Gibraltar,GIB,1993,,Upper-middle income,,
Gibraltar,GIB,1994,,Not categorized,,
Gibraltar,GIB,1995,,Not categorized,,
Gibraltar,GIB,1996,,Not categorized,,
Gibraltar,GIB,1997,,Not categorized,,
Gibraltar,GIB,1998,,Not categorized,,
Gibraltar,GIB,1999,,Not categorized,,
Gibraltar,GIB,2000,,Not categorized,,
Gibraltar,GIB,2001,,Not categorized,,
Gibraltar,GIB,2002,,Not categorized,,
Gibraltar,GIB,2003,,Not categorized,,
Gibraltar,GIB,2004,,Not categorized,,
Gibraltar,GIB,2005,,Not categorized,,
Gibraltar,GIB,2006,,Not categorized,,
Gibraltar,GIB,2007,,Not categorized,,
Gibraltar,GIB,2008,,Not categorized,,
Gibraltar,GIB,2009,,High income,,
Gibraltar,GIB,2010,,High income,,
Gibraltar,GIB,2011,,Not categorized,,
Gibraltar,GIB,2012,,Not categorized,,
Gibraltar,GIB,2013,,Not categorized,,
Gibraltar,GIB,2014,,Not categorized,,
Gibraltar,GIB,2015,,High income,,
Gibraltar,GIB,2016,,High income,,
Greece,GRC,1990,21013,Upper-middle income,26258,2019
Greece,GRC,1991,21585,Upper-middle income,26258,2019
Greece,GRC,1992,22148,Upper-middle income,26258,2019
Greece,GRC,1993,22292,Upper-middle income,26258,2019
Greece,GRC,1994,22591,Upper-middle income,26258,2019
Greece,GRC,1995,22969,Upper-middle income,26258,2019
Greece,GRC,1996,23200,High income,26258,2019
Greece,GRC,1997,23243,High income,26258,2019
Greece,GRC,1998,23625,High income,26258,2019
Greece,GRC,1999,23989,High income,26258,2019
Greece,GRC,2000,24125,High income,26258,2019
Greece,GRC,2001,24074,High income,26258,2019
Greece,GRC,2002,23886,High income,26258,2019
Greece,GRC,2003,23883,High income,26258,2019
Greece,GRC,2004,23810,High income,26258,2019
Greece,GRC,2005,23696,High income,26258,2019
Greece,GRC,2006,23659,High income,26258,2019
Greece,GRC,2007,24295,High income,26258,2019
Greece,GRC,2008,24010,High income,26258,2019
Greece,GRC,2009,24103,High income,26258,2019
Greece,GRC,2010,23942,High income,26258,2019
Greece,GRC,2011,24454,High income,26258,2019
Greece,GRC,2012,24849,High income,26258,2019
Greece,GRC,2013,24414,High income,26258,2019
Greece,GRC,2014,24218,High income,26258,2019
Greece,GRC,2015,24610,High income,26258,2019
Greece,GRC,2016,24807,High income,26258,2019
Greece,GRC,2017,25220,,26258,2019
Greece,GRC,2018,25822,,26258,2019
Greece,GRC,2019,26258,,26258,2019
Greece,GRC,1987,,Upper-middle income,26258,2019
Greece,GRC,1988,,Upper-middle income,26258,2019
Greece,GRC,1989,,Upper-middle income,26258,2019
Greenland,GRL,1990,105,High income,127,2019
Greenland,GRL,1991,107,High income,127,2019
Greenland,GRL,1992,108,High income,127,2019
Greenland,GRL,1993,114,High income,127,2019
Greenland,GRL,1994,115,High income,127,2019
Greenland,GRL,1995,117,High income,127,2019
Greenland,GRL,1996,118,High income,127,2019
Greenland,GRL,1997,119,High income,127,2019
Greenland,GRL,1998,119,High income,127,2019
Greenland,GRL,1999,119,High income,127,2019
Greenland,GRL,2000,119,High income,127,2019
Greenland,GRL,2001,119,High income,127,2019
Greenland,GRL,2002,120,High income,127,2019
Greenland,GRL,2003,119,High income,127,2019
Greenland,GRL,2004,114,High income,127,2019
Greenland,GRL,2005,114,High income,127,2019
Greenland,GRL,2006,116,High income,127,2019
Greenland,GRL,2007,117,High income,127,2019
Greenland,GRL,2008,118,High income,127,2019
Greenland,GRL,2009,118,High income,127,2019
Greenland,GRL,2010,119,High income,127,2019
Greenland,GRL,2011,120,High income,127,2019
Greenland,GRL,2012,120,High income,127,2019
Greenland,GRL,2013,121,High income,127,2019
Greenland,GRL,2014,121,High income,127,2019
Greenland,GRL,2015,121,High income,127,2019
Greenland,GRL,2016,123,High income,127,2019
Greenland,GRL,2017,125,,127,2019
Greenland,GRL,2018,126,,127,2019
Greenland,GRL,2019,127,,127,2019
Greenland,GRL,1987,,High income,127,2019
Greenland,GRL,1988,,High income,127,2019
Greenland,GRL,1989,,High income,127,2019
Grenada,GRD,1990,52,Lower-middle income,55,2019
Grenada,GRD,1991,50,Lower-middle income,55,2019
Grenada,GRD,1992,49,Lower-middle income,55,2019
Grenada,GRD,1993,48,Lower-middle income,55,2019
Grenada,GRD,1994,47,Lower-middle income,55,2019
Grenada,GRD,1995,45,Lower-middle income,55,2019
Grenada,GRD,1996,44,Lower-middle income,55,2019
Grenada,GRD,1997,43,Upper-middle income,55,2019
Grenada,GRD,1998,42,Upper-middle income,55,2019
Grenada,GRD,1999,45,Upper-middle income,55,2019
Grenada,GRD,2000,46,Upper-middle income,55,2019
Grenada,GRD,2001,46,Upper-middle income,55,2019
Grenada,GRD,2002,47,Upper-middle income,55,2019
Grenada,GRD,2003,47,Upper-middle income,55,2019
Grenada,GRD,2004,48,Upper-middle income,55,2019
Grenada,GRD,2005,48,Upper-middle income,55,2019
Grenada,GRD,2006,47,Upper-middle income,55,2019
Grenada,GRD,2007,48,Upper-middle income,55,2019
Grenada,GRD,2008,48,Upper-middle income,55,2019
Grenada,GRD,2009,49,Upper-middle income,55,2019
Grenada,GRD,2010,49,Upper-middle income,55,2019
Grenada,GRD,2011,50,Upper-middle income,55,2019
Grenada,GRD,2012,49,Upper-middle income,55,2019
Grenada,GRD,2013,49,Upper-middle income,55,2019
Grenada,GRD,2014,51,Upper-middle income,55,2019
Grenada,GRD,2015,51,Upper-middle income,55,2019
Grenada,GRD,2016,54,Upper-middle income,55,2019
Grenada,GRD,2017,53,,55,2019
Grenada,GRD,2018,54,,55,2019
Grenada,GRD,2019,55,,55,2019
Grenada,GRD,1987,,Lower-middle income,55,2019
Grenada,GRD,1988,,Lower-middle income,55,2019
Grenada,GRD,1989,,Lower-middle income,55,2019
Guam,GUM,1990,82,Upper-middle income,159,2019
Guam,GUM,1991,85,Upper-middle income,159,2019
Guam,GUM,1992,88,Upper-middle income,159,2019
Guam,GUM,1993,90,Upper-middle income,159,2019
Guam,GUM,1994,92,Upper-middle income,159,2019
Guam,GUM,1995,89,High income,159,2019
Guam,GUM,1996,87,High income,159,2019
Guam,GUM,1997,94,High income,159,2019
Guam,GUM,1998,92,High income,159,2019
Guam,GUM,1999,96,High income,159,2019
Guam,GUM,2000,100,High income,159,2019
Guam,GUM,2001,104,High income,159,2019
Guam,GUM,2002,107,High income,159,2019
Guam,GUM,2003,107,High income,159,2019
Guam,GUM,2004,109,High income,159,2019
Guam,GUM,2005,109,High income,159,2019
Guam,GUM,2006,112,High income,159,2019
Guam,GUM,2007,115,High income,159,2019
Guam,GUM,2008,119,High income,159,2019
Guam,GUM,2009,123,High income,159,2019
Guam,GUM,2010,127,High income,159,2019
Guam,GUM,2011,128,High income,159,2019
Guam,GUM,2012,132,High income,159,2019
Guam,GUM,2013,138,High income,159,2019
Guam,GUM,2014,143,High income,159,2019
Guam,GUM,2015,146,High income,159,2019
Guam,GUM,2016,148,High income,159,2019
Guam,GUM,2017,151,,159,2019
Guam,GUM,2018,154,,159,2019
Guam,GUM,2019,159,,159,2019
Guam,GUM,1987,,High income,159,2019
Guam,GUM,1988,,High income,159,2019
Guam,GUM,1989,,High income,159,2019
Guatemala,GTM,1990,2430,Lower-middle income,3788,2019
Guatemala,GTM,1991,2603,Lower-middle income,3788,2019
Guatemala,GTM,1992,2711,Lower-middle income,3788,2019
Guatemala,GTM,1993,2766,Lower-middle income,3788,2019
Guatemala,GTM,1994,2732,Lower-middle income,3788,2019
Guatemala,GTM,1995,2487,Lower-middle income,3788,2019
Guatemala,GTM,1996,2396,Lower-middle income,3788,2019
Guatemala,GTM,1997,2502,Lower-middle income,3788,2019
Guatemala,GTM,1998,2590,Lower-middle income,3788,2019
Guatemala,GTM,1999,2568,Lower-middle income,3788,2019
Guatemala,GTM,2000,2614,Lower-middle income,3788,2019
Guatemala,GTM,2001,2670,Lower-middle income,3788,2019
Guatemala,GTM,2002,2639,Lower-middle income,3788,2019
Guatemala,GTM,2003,2688,Lower-middle income,3788,2019
Guatemala,GTM,2004,2750,Lower-middle income,3788,2019
Guatemala,GTM,2005,2780,Lower-middle income,3788,2019
Guatemala,GTM,2006,2816,Lower-middle income,3788,2019
Guatemala,GTM,2007,2828,Lower-middle income,3788,2019
Guatemala,GTM,2008,2875,Lower-middle income,3788,2019
Guatemala,GTM,2009,2985,Lower-middle income,3788,2019
Guatemala,GTM,2010,3090,Lower-middle income,3788,2019
Guatemala,GTM,2011,3169,Lower-middle income,3788,2019
Guatemala,GTM,2012,3230,Lower-middle income,3788,2019
Guatemala,GTM,2013,3314,Lower-middle income,3788,2019
Guatemala,GTM,2014,3381,Lower-middle income,3788,2019
Guatemala,GTM,2015,3490,Lower-middle income,3788,2019
Guatemala,GTM,2016,3582,Lower-middle income,3788,2019
Guatemala,GTM,2017,3621,,3788,2019
Guatemala,GTM,2018,3705,,3788,2019
Guatemala,GTM,2019,3788,,3788,2019
Guatemala,GTM,1987,,Lower-middle income,3788,2019
Guatemala,GTM,1988,,Lower-middle income,3788,2019
Guatemala,GTM,1989,,Lower-middle income,3788,2019
Guinea,GIN,1990,2253,Low income,4250,2019
Guinea,GIN,1991,2335,Low income,4250,2019
Guinea,GIN,1992,2439,Low income,4250,2019
Guinea,GIN,1993,2539,Low income,4250,2019
Guinea,GIN,1994,2663,Low income,4250,2019
Guinea,GIN,1995,2769,Low income,4250,2019
Guinea,GIN,1996,2875,Low income,4250,2019
Guinea,GIN,1997,2994,Low income,4250,2019
Guinea,GIN,1998,3126,Low income,4250,2019
Guinea,GIN,1999,3248,Low income,4250,2019
